ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,,Hermès,1,0,visible,"Kelly 25 Craie Epsom Palladium Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,23000,24300,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA27.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 20 Mini Dore Metallic Chèvre Stamp W 2025<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,36000,37500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA26.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 20 Mini Black Box Palladium Hardware Stamp W 2025<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,26100,27400,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA25.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Birkin 35 Black Togo Palladium Hardware Stamp A 2017<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,15700,16500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA24.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 20 Mini Gris Pale Epsom Gold Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,26000,27300,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA23.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 25 Craie Epsom Palladium Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,22500,23800,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA22.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 28 Black Togo Gold Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,20700,21500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA21.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Herbag Ebene Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,5200,6000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA20.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Birkin 25 Gold Togo Gold Hardware Stamp Z 2021<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,23500,24800,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA19.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Birkin 25 Vanilla Ostrich Gold Hardware Stamp U 2022<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,30700,32000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesA18.jpg,,,,,,,,,0
