ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,,Hermès,1,0,visible,"Birkin 30 Mauve Sylvestre Epsom Palladium Hardware Stamp U 2022<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,23700,25000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD47.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly Pochette Vert Yucca Ostrich Gold Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,22200,23500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD46.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 25 Gold Togo Palladium Hardware Stamp K<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,22500,23800,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD45.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 20 Mini Gold Epsom Palladium Hardware Stamp K<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,24000,25300,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD44.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 25 Black Togo Gold Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,22700,24000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD43.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 20 Mini Alezan Epsom Gold Hardware Stamp B 2023<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,23700,25000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD42.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Birkin 30 Black Epsom Sellier Gold Hardware Stamp W 2025<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,23200,24500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD41.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 28 Gold Togo Gold Hardware Stamp W 2024<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,19700,20500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD40.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly Pochette Blue Lin Swift Palladium Hardware Stamp K<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,21700,23000,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD39.jpg,,,,,,,,,0
,simple,,Hermès,1,0,visible,"Kelly 28 Black Epsom Sellier Gold Hardware Stamp K<div class=""oculto"">



Full set - boutique receipt



Brand New



</div>",,,,,,,,,,,,,,,,,22200,23500,Hermès,,,https://frontrowco.com/wp-content/uploads/2025/04/HermesD38.jpg,,,,,,,,,0
